numero_expediente,orden,fecha_radicacion,tribunal,fiscal_nombre,fiscalia
CFP 9608/2018,1,2020-10-16,CORTE SUPREMA DE JUSTICIA DE LA NACION SECRETARIA JUDICIAL 3,nan,nan
CFP 9608/2018,2,2019-09-20,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,Fiscal: DRA. ESTELA S. FABIANA LEON,FISCALIA ANTE LOS TRIB. ORALES EN LO CRIM. FED. N° 5
CFP 9608/2018,3,2019-04-22,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 11,Fiscal: DR. CARLOS ERNESTO STORNELLI,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 4
CFP 9608/2018,4,2018-09-06,CAMARA FEDERAL DE CASACION PENAL SALA 1,Fiscal: Dr. RAUL OMAR PLEE - SUBROGANTE,FISCALIA ANTE LA CAMARA FEDERAL DE CASACION PENAL N° 3
CFP 9608/2018,5,2018-08-07,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL SALA 1,Fiscal: DR. JOSE LUIS AGUERO ITURBE,FISCALIA NAC. ANTE LA CAMARA EN LO CRIM. Y CORR. FEDERAL
CFP 9608/2018,6,2018-08-07,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL SALA 1,Fiscal: DR. JOSE LUIS AGUERO ITURBE,FISCALIA NAC. ANTE LA CAMARA EN LO CRIM. Y CORR. FEDERAL
CFP 8852/2019,1,2020-06-16,CAMARA FEDERAL DE CASACION PENAL SALA 2,Fiscal: DR. RAUL OMAR PLEE,FISCALIA ANTE LA CAMARA FEDERAL DE CASACION PENAL N° 2
CFP 8852/2019,2,2020-05-20,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL SALA 2,Fiscal: DR. JOSE LUIS AGUERO ITURBE,FISCALIA NAC. ANTE LA CAMARA EN LO CRIM. Y CORR. FEDERAL
CFP 8852/2019,3,2020-05-20,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL SALA 2,Fiscal: DR. JOSE LUIS AGUERO ITURBE,FISCALIA NAC. ANTE LA CAMARA EN LO CRIM. Y CORR. FEDERAL
CFP 8852/2019,4,2019-11-29,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 6,Fiscal: DR. CARLOS ERNESTO STORNELLI,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 4
CFP 1614/2016,1,2021-02-04,CORTE SUPREMA DE JUSTICIA DE LA NACION SECRETARIA JUDICIAL 3,nan,nan
CFP 1614/2016,2,2020-09-24,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL SALA 1,Fiscal: DR. JOSE LUIS AGUERO ITURBE,FISCALIA NAC. ANTE LA CAMARA EN LO CRIM. Y CORR. FEDERAL
CFP 1614/2016,3,2020-07-28,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,Fiscal: DRA. ESTELA S. FABIANA LEON,FISCALIA ANTE LOS TRIB. ORALES EN LO CRIM. FED. N° 5
CFP 1614/2016,4,2019-02-26,CAMARA FEDERAL DE CASACION PENAL VOCALIA 8,nan,nan
CFP 1614/2016,5,2019-02-26,CAMARA FEDERAL DE CASACION PENAL VOCALIA 9,nan,nan
CFP 1614/2016,6,2018-02-07,CAMARA FEDERAL DE CASACION PENAL SALA 3,Fiscal: MARIO ALBERTO VILLAR,FISCALIA ANTE LA CAMARA FEDERAL DE CASACION PENAL N° 1
