tribunal_id,juez_id,cargo,situacion
3,21,Vicepresidente 1ro.,Efectivo
3,218,Presidente,Efectivo
3,288,Vicepresidente 2do.,Efectivo
4,21,Presidente,Efectivo
4,54,Juez Subrogante,Efectivo
4,136,Vicepresidente,Efectivo
4,171,Secretario,Efectivo
5,270,Vicepresidente,Efectivo
5,288,Vocal,Efectivo
5,402,Presidente,Efectivo
5,479,Secretario,Efectivo
6,21,Juez Subrogante,Efectivo
6,115,Vicepresidente,Efectivo
6,172,Presidente,Efectivo
6,448,Secretario,Efectivo
7,38,Presidente,Efectivo
7,54,Vicepresidente,Efectivo
7,136,Vocal,Efectivo
7,472,Secretario,Efectivo
13,69,Vocal,Efectivo
13,161,Vocal,Efectivo
13,162,Vocal,Efectivo
13,166,Vocal,Efectivo
13,221,Vicepresidente 1ro.,Efectivo
13,224,Vocal,Efectivo
13,251,Vocal,Efectivo
13,269,Presidente,Efectivo
13,400,Vicepresidente 2do.,Efectivo
14,35,Vicepresidente 2do.,Efectivo
14,98,Vicepresidente 1ro.,Efectivo
14,159,Presidente,Efectivo
15,32,Presidente,Efectivo
15,41,Vicepresidente,Efectivo
15,159,Vocal,Efectivo
15,229,Prosecretario de Cámara,Interino
15,447,Secretario,Efectivo
15,478,Secretario,Efectivo
16,35,Presidente,Efectivo
16,98,Vocal,Efectivo
16,141,Vicepresidente,Efectivo
17,62,Secretario de Cámara,Efectivo
17,104,Prosecretario de Cámara,Efectivo
17,161,Presidente,Efectivo
17,269,Juez Subrogante,Efectivo
17,296,Secretario Letrado,Efectivo
17,316,Secretario de Cámara,Efectivo
17,400,Juez Subrogante,Efectivo
17,403,Secretario de Cámara,Interino
17,411,Prosecretario de Cámara,Interino
18,22,Secretario de Cámara,Efectivo
18,162,Juez Subrogante,Efectivo
18,166,Juez Subrogante,Efectivo
18,214,Prosecretario de Cámara,Efectivo
18,251,Presidente,Efectivo
18,318,Secretario de Cámara,Contratado
18,344,Prosecretario de Cámara,Interino
18,353,Prosecretario de Cámara,Adscripto
18,372,Secretario de Cámara,Efectivo
18,419,Secretario de Cámara,Efectivo
18,494,Ujier,Efectivo
19,125,Secretario de Cámara,Efectivo
19,166,Presidente,Efectivo
19,221,Vocal,Efectivo
19,224,Vocal,Efectivo
19,350,Secretario de Cámara,Efectivo
19,428,Prosecretario Administrativo,Efectivo
19,443,Secretario de Cámara,Efectivo
19,449,Secretario Letrado Corte,Adscripto
20,17,Prosecretario de Cámara,Interino
20,162,Presidente,Efectivo
20,175,Secretario de Cámara,Efectivo
20,251,Juez Subrogante,Efectivo
20,331,Secretario de Cámara,Efectivo
20,375,Secretario Letrado Corte,Efectivo
20,400,Juez,Efectivo
20,430,Ujier,Efectivo
20,460,Prosecretario de Cámara,Contratado
20,470,Prosecretario de Cámara,Contratado
21,69,Presidente,Efectivo
21,221,Juez Subrogante,Efectivo
21,224,Juez Subrogante,Efectivo
21,262,Secretario de Cámara,Efectivo
21,273,Prosecretario de Cámara,Efectivo
21,358,Prosecretario de Cámara,Efectivo
