tribunal_id,nombre,domicilio_sede,contacto,jurisdiccion_id,fuero
1,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL SALA 1,,,1,Criminal y Correccional
2,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL SALA 2,,,2,Criminal y Correccional
3,CAMARA FEDERAL DE CASACION PENAL,"Comodoro Py 2002, PISO 1º (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7476 | Email: cfcasacionpenal.secgeneral@pjn.gov.ar,1,Casación Penal
4,CAMARA FEDERAL DE CASACION PENAL SALA 1,"Comodoro Py 2002, 1° piso (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7402 | Email: cfcasacionpenal.sala1@pjn.gov.ar,1,Casación Penal
5,CAMARA FEDERAL DE CASACION PENAL SALA 2,"Comodoro Py 2002, 1° piso (C1104BEN), Ciudad Autónoma de Buenos Aires, 4032-7414/5",Email: cfcasacionpenal.sala2@pjn.gov.ar,1,Casación Penal
6,CAMARA FEDERAL DE CASACION PENAL SALA 3,"Comodoro Py 2002, 1° piso (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7428 | Email: cfcasacionpenal.sala3@pjn.gov.ar,1,Casación Penal
7,CAMARA FEDERAL DE CASACION PENAL SALA 4,"Comodoro Py 2002, 1º piso (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7441 | Email: cfcasacionpenal.sala4@pjn.gov.ar,1,Casación Penal
8,CAMARA FEDERAL DE CASACION PENAL SALA DE FERIA,,,1,Criminal y Correccional
9,CAMARA FEDERAL DE CASACION PENAL VOCALIA 10,,,1,Criminal y Correccional
10,CAMARA FEDERAL DE CASACION PENAL VOCALIA 6,,,1,Criminal y Correccional
11,CAMARA FEDERAL DE COMODORO RIVADAVIA,,,1,Criminal y Correccional
12,CAMARA FEDERAL DE CORDOBA SALA B,,,1,Criminal y Correccional
13,CAMARA FEDERAL DE PARANA,,,1,Criminal y Correccional
14,CAMARA FEDERAL DE ROSARIO SALA A,,,1,Criminal y Correccional
15,CAMARA FEDERAL DE TUCUMAN,,,1,Criminal y Correccional
16,CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL,"Viamonte 1147, PB (C1053ABW), Ciudad Autónoma de Buenos Aires",Tel: 4370-4900,2,Criminal y Correccional
17,CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL FEDERAL,"Comodoro Py 2002 (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032 7575,1,Criminal y Correccional
18,CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL FEDERAL SALA 1,"Comodoro Py 2002, 2º (C1104BEN), Ciudad Autónoma de Buenos Aires, 4032-7546/7517",Email: cncrimcorrfed.sala1@pjn.gov.ar,1,Criminal y Correccional
19,CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL FEDERAL SALA 2,"Comodoro Py 2002, 2º (C1104BEN), Ciudad Autónoma de Buenos Aires, 4032-7551/7522",Email: cncrimcorrfed.sala2@pjn.gov.ar,1,Criminal y Correccional
20,CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL SALA 1,"Viamonte 1147, 1° P (C1053ABW), Ciudad Autónoma de Buenos Aires, 4370-4962 (única linea de mesa de entradas) o 4370-4963 o 4371-8570",Email: cncrimcorr.sala1@pjn.gov.ar,2,Criminal y Correccional
21,CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL SALA 4,"Viamonte 1147, 3º Piso (C1053ABW), Ciudad Autónoma de Buenos Aires",Tel: 4370-4930 | Email: cncrimcorr.sala4@pjn.gov.ar,2,Criminal y Correccional
22,CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL SALA 5,"Viamonte 1147, 2º PISO (C1053ABW), Ciudad Autónoma de Buenos Aires",Tel: 4370-4946 | Email: cncrimcorr.sala5@pjn.gov.ar,2,Criminal y Correccional
