Expediente,Fecha,Nombre,Link
CFP 1372/2025,14/08/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 2,scp/include/showFile.php?acc=showFAR&id=13860244&tipo=corrupcion-administrativa
CFP 803/2025,15/10/2025,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=14077715&tipo=corrupcion-administrativa
CFP 305/2025,25/04/2025,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=13528925&tipo=corrupcion-administrativa
CFP 305/2025,01/04/2025,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=13466846&tipo=corrupcion-administrativa
CCC 38767/2024,13/05/2025,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=13583415&tipo=corrupcion-administrativa
FTU 5653/2024,13/05/2025,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=13579054&tipo=corrupcion-administrativa
CFP 3841/2024,26/03/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 3,scp/include/showFile.php?acc=showFAR&id=13435390&tipo=corrupcion-administrativa
CFP 3801/2024,18/08/2025,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=13864043&tipo=corrupcion-administrativa
CFP 3801/2024,25/06/2025,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=13786024&tipo=corrupcion-administrativa
CFP 2682/2024,01/10/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 3 - SECRETARIA NÂº 6,scp/include/showFile.php?acc=showFAR&id=14035584&tipo=corrupcion-administrativa
CFP 2265/2024,01/10/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=13019227&tipo=corrupcion-administrativa
CFP 1208/2024,20/05/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12655537&tipo=corrupcion-administrativa
CFP 1208/2024,23/04/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12610044&tipo=corrupcion-administrativa
CFP 550/2024,24/06/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12753913&tipo=corrupcion-administrativa
CFP 414/2024,20/03/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=12491492&tipo=corrupcion-administrativa
CFP 321/2024,17/03/2025,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=13409736&tipo=corrupcion-administrativa
CFP 321/2024,13/08/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12868035&tipo=corrupcion-administrativa
CFP 248/2024,11/04/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12544419&tipo=corrupcion-administrativa
CFP 4623/2023,11/03/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=12460342&tipo=corrupcion-administrativa
CFP 4057/2023,28/11/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=13186868&tipo=corrupcion-administrativa
CFP 3466/2023,27/09/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=13023314&tipo=corrupcion-administrativa
CFP 2732/2023,03/09/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12932714&tipo=corrupcion-administrativa
CFP 2732/2023,12/07/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12846544&tipo=corrupcion-administrativa
CFP 2732/2023,31/10/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=12175647&tipo=corrupcion-administrativa
CFP 2702/2023,28/08/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12915405&tipo=corrupcion-administrativa
CFP 2545/2023,30/10/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=12170921&tipo=corrupcion-administrativa
CFP 2367/2023,30/12/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=13278675&tipo=corrupcion-administrativa
CFP 2367/2023,12/12/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12287573&tipo=corrupcion-administrativa
CFP 2367/2023,21/11/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12227090&tipo=corrupcion-administrativa
CFP 2099/2023,05/10/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12101477&tipo=corrupcion-administrativa
CFP 2099/2023,14/09/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12030999&tipo=corrupcion-administrativa
CFP 946/2023,16/05/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11692692&tipo=corrupcion-administrativa
CFP 910/2023,05/12/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12270751&tipo=corrupcion-administrativa
CFP 850/2023,06/05/2025,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=13556114&tipo=corrupcion-administrativa
CFP 850/2023,01/09/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=11995713&tipo=corrupcion-administrativa
CFP 493/2023,19/10/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12140518&tipo=corrupcion-administrativa
CCC 22740/2022,09/11/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12202313&tipo=corrupcion-administrativa
CCC 16342/2022,13/07/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11897375&tipo=corrupcion-administrativa
CCC 16342/2022,05/12/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11292211&tipo=corrupcion-administrativa
CFP 3764/2022,06/08/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12847325&tipo=corrupcion-administrativa
CFP 3764/2022,15/11/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12218734&tipo=corrupcion-administrativa
CFP 3764/2022,07/11/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12193273&tipo=corrupcion-administrativa
CFP 3764/2022,12/10/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12121420&tipo=corrupcion-administrativa
CFP 3764/2022,12/10/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12121311&tipo=corrupcion-administrativa
