nivel,path,titulo,detalle,responsables
2,FUEROS CON COMPETENCIA EN TODO EL PAÍS > JUSTICIA FEDERAL DE CASACIÓN PENAL,CÁMARA FEDERAL DE CASACIÓN PENAL,"Comodoro Py 2002, PISO 1º (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7476 | cfcasacionpenal.secgeneral@pjn.gov.ar","Nombre: Dr. Petrone, Daniel Antonio | Cargo: Presidente | Tel: Dr. Petrone, Daniel Antonio | Email:  | Teléfono: 4032-7397 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Barroetaveña, Diego Gustavo | Cargo: Vicepresidente 1ro. | Tel: Dr. Barroetaveña, Diego Gustavo | Email:  | Teléfono: 4032-7404 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Yacobucci, Guillermo Jorge | Cargo: Vicepresidente 2do. | Tel: Dr. Yacobucci, Guillermo Jorge | Email:  | Teléfono: 4032-7410 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo"
3,FUEROS CON COMPETENCIA EN TODO EL PAÍS > JUSTICIA FEDERAL DE CASACIÓN PENAL > CÁMARA FEDERAL DE CASACIÓN PENAL,SECRETARÍA DE JURISPRUDENCIA,"Comodoro Py 2002, 9º (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7379/80 (Fax 4032-7384) | cfcasacionpenal.jurisprudencia@pjn.gov.ar","Nombre: Dra. Hopp, Cecilia | Cargo: Coordinador | Tel: Dra. Hopp, Cecilia | Email:  | Teléfono: 4032-7380 | Email:  | Cargo: Prosecretario de Cámara | Situación: Efectivo"
4,FUEROS CON COMPETENCIA EN TODO EL PAÍS > JUSTICIA FEDERAL DE CASACIÓN PENAL > CÁMARA FEDERAL DE CASACIÓN PENAL > SALAS,SALA I - CASACIÓN PENAL,"Comodoro Py 2002, 1° piso (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7402 | cfcasacionpenal.sala1@pjn.gov.ar","Nombre: Dr. Barroetaveña, Diego Gustavo | Cargo: Presidente | Tel: Dr. Barroetaveña, Diego Gustavo | Email:  | Teléfono: 4032-7404 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Hornos, Gustavo M. | Cargo: Vicepresidente | Tel: Dr. Hornos, Gustavo M. | Email:  | Teléfono: 4032-7436 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Carbajo, Javier | Cargo: Juez Subrogante | Tel: Dr. Carbajo, Javier | Email:  | Teléfono: 4032-7417 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Magnone, Walter Daniel | Cargo: Secretario | Tel: Dr. Magnone, Walter Daniel | Email:  | Teléfono: 4032-7399 | Email:  | Cargo: Secretario de Cámara | Situación: Efectivo"
4,FUEROS CON COMPETENCIA EN TODO EL PAÍS > JUSTICIA FEDERAL DE CASACIÓN PENAL > CÁMARA FEDERAL DE CASACIÓN PENAL > SALAS,SALA II - CASACIÓN PENAL,"Comodoro Py 2002, 1° piso (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7414/5 | cfcasacionpenal.sala2@pjn.gov.ar","Nombre: Dra. Ledesma, Angela Ester | Cargo: Presidente | Tel: Dra. Ledesma, Angela Ester | Email:  | Teléfono: 4032-7492 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Slokar, Alejandro Walter | Cargo: Vicepresidente | Tel: Dr. Slokar, Alejandro Walter | Email:  | Teléfono: 4032-7431 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Yacobucci, Guillermo Jorge | Cargo: Vocal | Tel: Dr. Yacobucci, Guillermo Jorge | Email:  | Teléfono: 4032-7410 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dra. Tellechea Suárez, Mariana Andrea | Cargo: Secretario | Tel: Dra. Tellechea Suárez, Mariana Andrea | Email:  | Teléfono: 4032-7413 | Email:  | Cargo: Secretario de Cámara | Situación: Efectivo"
4,FUEROS CON COMPETENCIA EN TODO EL PAÍS > JUSTICIA FEDERAL DE CASACIÓN PENAL > CÁMARA FEDERAL DE CASACIÓN PENAL > SALAS,SALA III - CASACIÓN PENAL,"Comodoro Py 2002, 1° piso (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7428 | cfcasacionpenal.sala3@pjn.gov.ar","Nombre: Dr. Mahiques, Carlos Alberto | Cargo: Presidente | Tel: Dr. Mahiques, Carlos Alberto | Email:  | Teléfono: 4032-7408/7370 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Gemignani, Juan Carlos | Cargo: Vicepresidente | Tel: Dr. Gemignani, Juan Carlos | Email:  | Teléfono: 4032-7394 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Barroetaveña, Diego Gustavo | Cargo: Juez Subrogante | Tel: Dr. Barroetaveña, Diego Gustavo | Email:  | Teléfono: 4032-7404 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dra. Raposeiras, Lucía del Pilar | Cargo: Secretario | Tel: Dra. Raposeiras, Lucía del Pilar | Email:  | Teléfono: 4032-7425 | Email:  | Cargo: Secretario de Cámara | Situación: Efectivo"
4,FUEROS CON COMPETENCIA EN TODO EL PAÍS > JUSTICIA FEDERAL DE CASACIÓN PENAL > CÁMARA FEDERAL DE CASACIÓN PENAL > SALAS,SALA IV - CASACIÓN PENAL,"Comodoro Py 2002, 1º piso (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7441 | cfcasacionpenal.sala4@pjn.gov.ar","Nombre: Dr. Borinsky, Mariano Hernán | Cargo: Presidente | Tel: Dr. Borinsky, Mariano Hernán | Email:  | Teléfono: 4032-7433 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Carbajo, Javier | Cargo: Vicepresidente | Tel: Dr. Carbajo, Javier | Email:  | Teléfono: 4032-7417 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Hornos, Gustavo M. | Cargo: Vocal | Tel: Dr. Hornos, Gustavo M. | Email:  | Teléfono: 4032-7436 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dra. Sircovich, Jesica Yael | Cargo: Secretario | Tel: Dra. Sircovich, Jesica Yael | Email:  | Teléfono:  | Email:  | Cargo: Secretario de Cámara | Situación: Efectivo"
2,FUEROS NACIONALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL,CÁMARA NACIONAL DE CASACIÓN EN LO CRIMINAL Y CORRECCIONAL,Talcahuano 624 | Ciudad Autónoma de Buenos Aires | 4124-6614 4124-6616.,"Nombre: Dr. Sarrabayrouse, Eugenio Carlos | Cargo: Presidente | Tel: Dr. Sarrabayrouse, Eugenio Carlos | Email:  | Teléfono: 4124-6626 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Días, Horacio Leonardo | Cargo: Vicepresidente | Tel: Dr. Días, Horacio Leonardo | Email:  | Teléfono: 4124-6637 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo"
4,FUEROS NACIONALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL > CÁMARA NACIONAL DE CASACIÓN EN LO CRIMINAL Y CORRECCIONAL > SALAS,SALA I,Talcahuano 624 | Ciudad Autónoma de Buenos Aires | 4124-6621,"Nombre: Dr. Rimondi, Jorge Luis | Cargo: Presidente | Tel: Dr. Rimondi, Jorge Luis | Email:  | Teléfono:  | Email:  | Cargo: Juez de Cámara | Situación: Efectivo; Nombre: Dr. Divito, Mauro Antonio | Cargo: Vicepresidente | Tel: Dr. Divito, Mauro Antonio | Email:  | Teléfono:  | Email:  | Cargo: Juez de Cámara | Situación: Efectivo; Nombre: Dr. Bruzzone, Gustavo Alfredo | Cargo: Vocal | Tel: Dr. Bruzzone, Gustavo Alfredo | Email:  | Teléfono: 4124-6618 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. López, Santiago A. | Cargo: Secretario | Tel: Dr. López, Santiago A. | Email:  | Teléfono: 4124-6625 | Email:  | Cargo: Secretario de Cámara | Situación: Efectivo"
4,FUEROS NACIONALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL > CÁMARA NACIONAL DE CASACIÓN EN LO CRIMINAL Y CORRECCIONAL > SALAS,SALA II,Talcahuano 624 | Ciudad Autónoma de Buenos Aires | 4124-6622,"Nombre: Dr. Dias, Horacio Leonardo | Cargo: Presidente | Tel: Dr. Dias, Horacio Leonardo | Email:  | Teléfono: 4379-2188/2190 | Email:  | Cargo: Juez de Cámara | Situación: Efectivo; Nombre: Dr. Morin, Daniel Emilio | Cargo: Vicepresidente | Tel: Dr. Morin, Daniel Emilio | Email:  | Teléfono: 4124-6629 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Sarrabayrouse, Eugenio Carlos | Cargo: Vocal | Tel: Dr. Sarrabayrouse, Eugenio Carlos | Email:  | Teléfono: 4124-6626 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dra. Gorsd, Paula | Cargo: Secretario | Tel: Dra. Gorsd, Paula | Email:  | Teléfono: 4124-6617 | Email:  | Cargo: Secretario de Cámara | Situación: Efectivo"
4,FUEROS NACIONALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL > CÁMARA NACIONAL DE CASACIÓN EN LO CRIMINAL Y CORRECCIONAL > SALAS,SALA III,Talcahuano 624 | Ciudad Autónoma de Buenos Aires | 4124-6632,"Nombre: Dr. Jantus, Pablo | Cargo: Presidente | Tel: Dr. Jantus, Pablo | Email:  | Teléfono: 4124-6633 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Huarte Petite, Alberto | Cargo: Vicepresidente | Tel: Dr. Huarte Petite, Alberto | Email:  | Teléfono: 4371-2003/9966 | Email:  | Cargo: Juez de Cámara | Situación: Efectivo; Nombre: Dr. Magariños, Mario | Cargo: Vocal | Tel: Dr. Magariños, Mario | Email:  | Teléfono: 4124-6626 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dra. Dropulich, Paola | Cargo: Secretario | Tel: Dra. Dropulich, Paola | Email:  | Teléfono: 4124-6623 | Email:  | Cargo: Secretario de Cámara | Situación: Efectivo"
